town,region,count_7eleven_s,count_7eleven_c,total_count_og,total_count_st
ANG MO KIO,NORTH EAST,5,4,9,8
BEDOK,EAST,9,6,15,9
BISHAN,CENTRAL,4,2,6,6
BUKIT BATOK,WEST,9,2,11,12
BUKIT MERAH,CENTRAL,11,10,21,12
BUKIT PANJANG,WEST,3,4,7,3
CENTRAL,CENTRAL,,,,
CHOA CHU KANG,WEST,1,5,6,5
CLEMENTI,WEST,5,0,5,2
GEYLANG,CENTRAL,10,6,16,9
HOUGANG,NORTH EAST,5,5,10,10
JURONG EAST,WEST,1,5,6,5
JURONG WEST,WEST,7,9,16,16
MARINE PARADE,CENTRAL,,,,
KALLANG/WHAMPOA,CENTRAL,7,4,11,8
PASIR RIS,EAST,3,6,9,4
PUNGGOL,NORTH EAST,2,2,4,3
QUEENSTOWN,CENTRAL,4,1,5,3
SEMBAWANG,NORTH,1,0,3,6
SENGKANG,NORTH EAST,1,7,8,5
SERANGOON,NORTH EAST,3,4,7,4
TAMPINES,EAST,10,8,18,17
TOA PAYOH,CENTRAL,5,2,7,6
WOODLANDS,NORTH,4,6,10,10
YISHUN,NORTH,8,8,16,11
CENTRAL AREA,CENTRAL,,,,
